index,Tech,n_breaks,First Diff.,AIC,BIC,Intercept,Initial production,Breakpoint 1,Breakpoint 2,Breakpoint 3,Breakpoint 4,Breakpoint 5,Breakpoint 6,Final production,LR 1,LR 2,LR 3,LR 4,LR 5,LR 6,LR 7,Number of observations
113,Laser_Diode,3,0,-27.1904453837097,-23.311192185405694,3.4560657355667286,-0.0124024199352916,2.4387100982784378,3.290608225711296,3.7134349325425062,,,,3.924324359678968,15.094638922725256,37.81691702826394,21.84198742747855,-4.2188474935755954e-13,,,,12
114,Trichloroethane,0,1,-22.109560681174024,-22.31780121194597,,2.235034247799735,,,,,,,3.3116064696367618,5.41469419567866,,,,,,,7
115,Trichloroethane,0,0,-23.84277267334205,-23.950952375231427,1.4187479936683591,2.235034247799735,,,,,,,3.3116064696367618,9.89973191383805,,,,,,,7
116,Trichloroethane,1,0,-41.1559985492285,-41.372357953007246,1.1073923616012136,2.235034247799735,2.961889442301465,,,,,,3.3116064696367618,1.8824371502252248,25.771776221183902,,,,,,7
117,Electric_Power,0,1,-139.62483901354466,-138.29263450336944,,2.609651560610097,,,,,,,4.1591776441939015,23.203600329313332,,,,,,,29
118,Electric_Power,0,0,-124.5294340850767,-121.79484242510377,0.400509131411548,2.609651560610097,,,,,,,4.1591776441939015,19.33973446635273,,,,,,,29
119,Electric_Power,1,0,-147.95553279540306,-142.48634947545716,0.8038658254533443,2.609651560610097,3.249976645093975,,,,,,4.1591776441939015,26.511599708713952,15.77173244321135,,,,,,29
120,Electric_Power,2,0,-148.7066768065064,-140.50290182658756,0.7820753002948937,2.609651560610097,3.206109979310144,3.720779486160207,,,,,4.1591776441939015,26.113096336632147,18.47847815422864,12.507249626217645,,,,,29
121,Magnesium,0,1,-98.13413185963586,-97.2437601017397,,2.4553746568410872,,,,,,,3.210679047105061,-6.7892376001423616,,,,,,,19
122,Magnesium,0,0,-77.165371447101,-75.27649348876811,1.7366057415737446,2.4553746568410872,,,,,,,3.210679047105061,4.823493143966607,,,,,,,19
123,Magnesium,1,0,-107.4725625384166,-103.69480662175084,1.1015169808846537,2.4553746568410872,2.851720126173326,,,,,,3.210679047105061,-12.1364826936619,17.825067725100972,,,,,,19
124,Shotgun_Sanger_DNA_Sequencing,0,1,-65.08933100281104,-63.91127717246309,,7.510554661087867,,,,,,,9.355127402116894,25.92477862899374,,,,,,,25
125,Shotgun_Sanger_DNA_Sequencing,0,0,-41.29905524479608,-38.86130359505968,4.365784045388934,7.510554661087867,,,,,,,9.355127402116894,29.225094070001656,,,,,,,25
126,Pentaerythritol,0,1,-80.03747632121545,-79.04174404766145,,2.2388802637589955,,,,,,,3.186711334700172,20.07561624108334,,,,,,,21
127,Pentaerythritol,0,0,-72.68412820617407,-70.59508333072722,2.5272272470601638,2.2388802637589955,,,,,,,3.186711334700172,23.772967573577308,,,,,,,21
128,Pentaerythritol,1,0,-83.5565187611458,-79.3784290102521,2.1039505319282763,2.2388802637589955,2.809762023573886,,,,,,3.186711334700172,14.415107418705864,35.076940363280585,,,,,,21
129,Ethylene_2,0,1,-47.574970090157336,-47.090063440369335,,3.6264499256521328,,,,,,,5.11444773362905,7.794672939995328,,,,,,,13
130,Ethylene_2,0,0,-39.00772219205758,-37.877823477134505,1.6219078754163951,3.6264499256521328,,,,,,,5.11444773362905,14.636587175634483,,,,,,,13
131,Ethylene_2,1,0,-68.06940092155756,-65.80960349171141,0.8922213117795404,3.6264499256521328,4.495413412185103,,,,,,5.11444773362905,3.376509232742797,26.427893942837667,,,,,,13
132,Ethylene_2,2,0,-65.80584267372379,-62.41614652895457,0.866238373794377,3.6264499256521328,4.291117104244583,4.668601185883093,,,,,5.11444773362905,2.9018870296235177,12.794375777018583,29.2030175603491,,,,,13
133,VinylAcetate,0,1,-45.27470689383591,-44.78980024404791,,2.5119212716417287,,,,,,,3.840107875017155,14.680987198334394,,,,,,,13
134,VinylAcetate,0,0,-37.3709047860258,-36.24100607110272,2.005848855332309,2.5119212716417287,,,,,,,3.840107875017155,18.544729834198527,,,,,,,13
135,VinylAcetate,1,0,-64.88111074251961,-62.621313312673465,1.7083671224579984,2.5119212716417287,3.617466963444184,,,,,,3.840107875017155,12.716535959599296,52.09555956569978,,,,,,13
136,CarbonBlack,0,1,-53.12272353536233,-53.0432819936825,,3.211922707582875,,,,,,,4.361440844178008,1.4060503512635991,,,,,,,9
137,CarbonBlack,0,0,-58.37484798935283,-57.98039883468039,0.9781103540178488,3.211922707582875,,,,,,,4.361440844178008,2.390911850093236,,,,,,,9
138,CarbonBlack,1,0,-69.3800126940329,-68.59111438468803,0.9044109643248452,3.211922707582875,4.088647462240184,,,,,,4.361440844178008,0.9920863431009396,7.563918986257168,,,,,,9
139,Aniline,0,1,-36.82573268321843,-36.42783741042006,,2.2609249080475813,,,,,,,3.4454575514802124,15.508692395575462,,,,,,,12
140,Aniline,0,0,-42.275490873430726,-41.30567757385472,1.7672364015046174,2.2609249080475813,,,,,,,3.4454575514802124,15.211066312796351,,,,,,,12
141,Aniline,1,0,-43.29011016703205,-41.350483567880055,1.4150995262671162,2.2609249080475813,2.80848816098208,,,,,,3.4454575514802124,6.7058740409922,20.43469273544243,,,,,,12
142,PhthalicAnhydride,0,1,-41.28229244618775,-40.449079102131535,,2.860343394500682,,,,,,,3.98471669620084,20.82270679293921,,,,,,,18
143,PhthalicAnhydride,0,0,-36.514012806908205,-34.733269291115874,2.8102496327069417,2.860343394500682,,,,,,,3.98471669620084,28.549202664590624,,,,,,,18
144,Capillary_DNA_Sequencing,0,1,-9.193290387301534,-9.24738023824622,,1.0368405273060124,,,,,,,2.245229551568646,39.01155609773161,,,,,,,8
145,Capillary_DNA_Sequencing,0,0,-13.208284537775713,-13.04940145441604,1.3744587107401314,1.0368405273060124,,,,,,,2.245229551568646,37.17283482788199,,,,,,,8
