,Scenario,Learning rate assumptions,Net Present Cost [trillion USD]
308,no transition,Technology-specific - Way et al. (2022),189.3893444490163
309,no transition,Technology-specific - Way et al. (2022),181.95048184626032
310,no transition,Technology-specific - Way et al. (2022),194.73801032969928
311,no transition,Technology-specific - Way et al. (2022),189.12846309714118
312,no transition,Technology-specific - Way et al. (2022),189.844613438046
313,no transition,Technology-specific - Way et al. (2022),186.77689915940113
314,no transition,Technology-specific - Way et al. (2022),183.43970723305404
315,no transition,Technology-specific - Way et al. (2022),161.98629756213643
316,no transition,Technology-specific - Way et al. (2022),174.39485623939592
317,no transition,Technology-specific - Way et al. (2022),185.4468702372785
318,no transition,Technology-specific - Way et al. (2022),170.65583463386812
319,no transition,Technology-specific - Way et al. (2022),184.30392484790033
320,no transition,Technology-specific - Way et al. (2022),174.8946985632506
321,no transition,Technology-specific - Way et al. (2022),174.41102505957167
322,no transition,Technology-specific - Way et al. (2022),156.8911903036203
323,no transition,Technology-specific - Way et al. (2022),172.18968033776144
324,no transition,Technology-specific - Way et al. (2022),202.13714904039506
325,no transition,Technology-specific - Way et al. (2022),172.73766718684365
326,no transition,Technology-specific - Way et al. (2022),174.74815127217423
327,no transition,Technology-specific - Way et al. (2022),193.38026506663903
328,no transition,Technology-specific - Way et al. (2022),195.22059272680698
329,no transition,Technology-specific - Way et al. (2022),204.2230836696203
330,no transition,Technology-specific - Way et al. (2022),206.6156562948038
331,no transition,Technology-specific - Way et al. (2022),175.56852523076444
332,no transition,Technology-specific - Way et al. (2022),159.04304054837579
333,no transition,Technology-specific - Way et al. (2022),178.5332133941764
334,no transition,Technology-specific - Way et al. (2022),182.25122300452438
335,no transition,Technology-specific - Way et al. (2022),182.52010652329753
336,no transition,Technology-specific - Way et al. (2022),183.0586785147837
337,no transition,Technology-specific - Way et al. (2022),166.94106216850582
338,no transition,Technology-specific - Way et al. (2022),161.43815141147496
339,no transition,Technology-specific - Way et al. (2022),159.49361243717686
340,no transition,Technology-specific - Way et al. (2022),231.40832150684324
341,no transition,Technology-specific - Way et al. (2022),195.1373559998391
342,no transition,Technology-specific - Way et al. (2022),179.51452118157295
343,no transition,Technology-specific - Way et al. (2022),175.18890029910727
344,no transition,Technology-specific - Way et al. (2022),183.58643324786283
345,no transition,Technology-specific - Way et al. (2022),192.0790837847624
346,no transition,Technology-specific - Way et al. (2022),180.87134220456105
347,no transition,Technology-specific - Way et al. (2022),177.36290854222406
348,no transition,Technology-specific - Way et al. (2022),175.88149889617637
349,no transition,Technology-specific - Way et al. (2022),179.5825318916288
350,no transition,Technology-specific - Way et al. (2022),189.34586551210867
351,no transition,Technology-specific - Way et al. (2022),159.99658615844854
352,no transition,Technology-specific - Way et al. (2022),177.17688430508298
353,no transition,Technology-specific - Way et al. (2022),169.81378413470432
354,no transition,Technology-specific - Way et al. (2022),202.27631151414505
355,no transition,Technology-specific - Way et al. (2022),197.53582058731635
356,no transition,Technology-specific - Way et al. (2022),162.40065122740123
357,no transition,Technology-specific - Way et al. (2022),164.89784841987424
358,no transition,Technology-specific - Way et al. (2022),177.50452070958133
359,no transition,Technology-specific - Way et al. (2022),179.56662785706553
360,no transition,Technology-specific - Way et al. (2022),176.40710667538485
361,no transition,Technology-specific - Way et al. (2022),190.4468464769694
362,no transition,Technology-specific - Way et al. (2022),180.6502521625648
363,no transition,Technology-specific - Way et al. (2022),187.72981962454543
364,no transition,Technology-specific - Way et al. (2022),170.26141543267318
365,no transition,Technology-specific - Way et al. (2022),163.9532609535718
366,no transition,Technology-specific - Way et al. (2022),188.54636435873581
367,no transition,Technology-specific - Way et al. (2022),161.93139565817205
368,no transition,Technology-specific - Way et al. (2022),198.0692915225659
369,no transition,Technology-specific - Way et al. (2022),183.3554477717785
370,no transition,Technology-specific - Way et al. (2022),180.52558187411475
371,no transition,Technology-specific - Way et al. (2022),178.43881281987356
372,no transition,Technology-specific - Way et al. (2022),162.9203679171561
373,no transition,Technology-specific - Way et al. (2022),186.38573629008974
374,no transition,Technology-specific - Way et al. (2022),181.27373056668526
375,no transition,Technology-specific - Way et al. (2022),185.48537588868697
376,no transition,Technology-specific - Way et al. (2022),188.90268978679595
377,no transition,Technology-specific - Way et al. (2022),158.53816297246954
378,no transition,Technology-specific - Way et al. (2022),191.1510065113448
379,no transition,Technology-specific - Way et al. (2022),171.58594367509718
380,no transition,Technology-specific - Way et al. (2022),177.60282723601662
381,no transition,Technology-specific - Way et al. (2022),184.60679266329143
382,no transition,Technology-specific - Way et al. (2022),149.3760422950592
383,no transition,Technology-specific - Way et al. (2022),199.38721569895253
384,no transition,Technology-specific - Way et al. (2022),177.61313573054042
385,no transition,Technology-specific - Way et al. (2022),185.03073195770372
386,no transition,Technology-specific - Way et al. (2022),200.2729535723637
387,no transition,Technology-specific - Way et al. (2022),185.8296503689261
388,no transition,Technology-specific - Way et al. (2022),181.29453618797578
389,no transition,Technology-specific - Way et al. (2022),179.06688310360585
390,no transition,Technology-specific - Way et al. (2022),162.8869970421877
391,no transition,Technology-specific - Way et al. (2022),206.30175088856288
392,no transition,Technology-specific - Way et al. (2022),170.55585340453183
393,no transition,Technology-specific - Way et al. (2022),172.65623106723288
394,no transition,Technology-specific - Way et al. (2022),158.37363456200532
395,no transition,Technology-specific - Way et al. (2022),166.2547690102473
396,no transition,Technology-specific - Way et al. (2022),197.7614939779272
397,no transition,Technology-specific - Way et al. (2022),189.035847311066
398,no transition,Technology-specific - Way et al. (2022),200.753328321127
399,no transition,Technology-specific - Way et al. (2022),148.5881346766371
400,no transition,Technology-specific - Way et al. (2022),194.4056691404161
401,no transition,Technology-specific - Way et al. (2022),189.06989146591687
402,no transition,Technology-specific - Way et al. (2022),181.3112548161922
403,no transition,Technology-specific - Way et al. (2022),150.82550204196363
404,no transition,Technology-specific - Way et al. (2022),168.91588132227744
405,no transition,Technology-specific - Way et al. (2022),179.8032208473452
406,no transition,Technology-specific - Way et al. (2022),162.07936459452438
407,no transition,Technology-specific - Way et al. (2022),181.2644143573908
408,no transition,Technology-specific - Way et al. (2022),160.68602079554063
409,no transition,Technology-specific - Way et al. (2022),166.9714483101862
410,no transition,Technology-specific - Way et al. (2022),164.4286374427183
411,no transition,Technology-specific - Way et al. (2022),174.01949073812006
412,no transition,Technology-specific - Way et al. (2022),185.73657291932943
413,no transition,Technology-specific - Way et al. (2022),161.88820041143344
414,no transition,Technology-specific - Way et al. (2022),163.4391523467045
415,no transition,Technology-specific - Way et al. (2022),159.19843235634377
416,no transition,Technology-specific - Way et al. (2022),156.11324902944
417,no transition,Technology-specific - Way et al. (2022),181.26691531572186
418,no transition,Technology-specific - Way et al. (2022),157.91097922347095
419,no transition,Technology-specific - Way et al. (2022),172.95452633006295
420,no transition,Technology-specific - Way et al. (2022),186.37667183386318
421,no transition,Technology-specific - Way et al. (2022),163.0757090748787
422,no transition,Technology-specific - Way et al. (2022),168.99988212367643
423,no transition,Technology-specific - Way et al. (2022),179.18964739784371
424,no transition,Technology-specific - Way et al. (2022),188.56559774969915
425,no transition,Technology-specific - Way et al. (2022),200.86633827299858
426,no transition,Technology-specific - Way et al. (2022),184.53162609154003
427,no transition,Technology-specific - Way et al. (2022),189.96635640148847
428,no transition,Technology-specific - Way et al. (2022),219.62434786016743
429,no transition,Technology-specific - Way et al. (2022),181.61797650065157
430,no transition,Technology-specific - Way et al. (2022),155.56665576476937
431,no transition,Technology-specific - Way et al. (2022),179.47055762063783
432,no transition,Technology-specific - Way et al. (2022),211.52111917436147
433,no transition,Technology-specific - Way et al. (2022),189.56515406902656
434,no transition,Technology-specific - Way et al. (2022),188.21208492855624
435,no transition,Technology-specific - Way et al. (2022),189.26982504154049
436,no transition,Technology-specific - Way et al. (2022),209.70448658830117
437,no transition,Technology-specific - Way et al. (2022),194.3926773525741
438,no transition,Technology-specific - Way et al. (2022),162.08525819770276
439,no transition,Technology-specific - Way et al. (2022),173.3942600962415
440,no transition,Technology-specific - Way et al. (2022),173.68130205488075
441,no transition,Technology-specific - Way et al. (2022),162.87158721230136
442,no transition,Technology-specific - Way et al. (2022),189.386741986748
443,no transition,Technology-specific - Way et al. (2022),188.84903337413238
444,no transition,Technology-specific - Way et al. (2022),188.09321440453684
445,no transition,Technology-specific - Way et al. (2022),167.39479214809379
446,no transition,Technology-specific - Way et al. (2022),207.36240399201245
447,no transition,Technology-specific - Way et al. (2022),199.57682964367663
448,no transition,Technology-specific - Way et al. (2022),168.605862428342
449,no transition,Technology-specific - Way et al. (2022),186.47800933331106
450,no transition,Technology-specific - Way et al. (2022),175.3771811579598
451,no transition,Technology-specific - Way et al. (2022),185.91565736057302
452,no transition,Technology-specific - Way et al. (2022),157.27443997656255
453,no transition,Technology-specific - Way et al. (2022),179.62913005612887
454,no transition,Technology-specific - Way et al. (2022),191.56360137547762
455,no transition,Technology-specific - Way et al. (2022),168.94605903354332
456,no transition,Technology-specific - Way et al. (2022),163.3803076661239
457,no transition,Technology-specific - Way et al. (2022),215.57558878119136
458,no transition,Technology-specific - Way et al. (2022),166.7659663874517
459,no transition,Technology-specific - Way et al. (2022),190.45375510472715
460,no transition,Technology-specific - Way et al. (2022),171.2248548625182
461,no transition,Technology-specific - Way et al. (2022),168.81690141564584
