Tech,Normalized cumulative production,Normalized unit cost
Milk_(US),37.667145909463045,0.5791608419635368
Milk_(US),38.91719083847521,0.5506021197376834
Milk_(US),40.184857924479324,0.5369640704705981
Milk_(US),41.424698975618526,0.5232909348350284
Milk_(US),42.62192735477945,0.5038198282010579
Milk_(US),43.80737434852932,0.48812283015330493
Milk_(US),44.9777751153178,0.47265909462751443
Milk_(US),46.137023502865475,0.45723198527308806
Milk_(US),47.30524770862038,0.44522483216139697
Milk_(US),48.48903732103277,0.4345630132538027
Milk_(US),49.68739391761017,0.44070772752621445
Milk_(US),50.84048203837936,0.4332737785769845
Milk_(US),51.994518660516384,0.4324725691051225
Milk_(US),53.14667824836758,0.4093200749904783
Milk_(US),54.346582399808305,0.3979084721030029
Milk_(US),55.571197507937455,0.3966466298193012
Milk_(US),56.783881467281695,0.38801318035768834
Milk_(US),58.01543561173346,0.3748986914499164
Milk_(US),59.2974699974041,0.3660289175194853
Milk_(US),60.62307554064578,0.36105176009609646
Milk_(US),61.978953253858904,0.353303633165296
Milk_(US),63.372631242636636,0.35558318009091405
Milk_(US),64.72400607040875,0.34240643297946294
Milk_(US),66.15187004532838,0.3362971192345651
Milk_(US),67.58341819924519,0.32303842098664864
Milk_(US),69.00673935182412,0.31435441560027644
Milk_(US),70.45479142954133,0.3113307771493674
Milk_(US),71.89145150661955,0.30166310550498515
Milk_(US),73.3663311967092,0.2966700022254499
Milk_(US),74.84097126540067,0.28632324807961923
Milk_(US),76.34744104315182,0.2836289873777511
Milk_(US),77.85142474889675,0.2756264591917686
Milk_(US),79.3850216657681,0.2718228527449289
Milk_(US),80.93549192276204,0.2895259374225394
Milk_(US),82.47312246650293,0.2643177387710475
Milk_(US),84.03157011921165,0.2594714506793566
Milk_(US),85.60170929930709,0.25102289310426384
Milk_(US),87.22503444557599,0.24506634733684862
